Problem Name	1	2	3	4	5	6	7	8
%(startStateNodeName)%		state54	state12	state2				
%(Problem_intro1)%	1. Enter 2.4 to show the place value of each digit (simplest form).	1. Enter 0.72 to show the place value of each digit (simplest form).	1. Enter 78.16 to show the place value of each digit (simplest form).	1. Enter 1.76 to show the place value of each digit (simplest form).	1. Enter 69.3 to show the place value of each digit (simplest form).	1. Enter 5.09 to show the place value of each digit (simplest form).	1. Enter 3.08 to show the place value of each digit (simplest form).	1. Enter 20.96 to show the place value of each digit (simplest form).
%(Problem_intro2)%	2. You need to borrow to get 14 tenths. How many ones and hundredths do you need now?	2. Increase the number of hundredths to 12. How many tenths will you need to make 0.72?	2. You need to borrow one from the tens column, what is another way to show 78.16?	2. You need to borrow from the tenths, so now you have only 6 tenths. How many ones and hundredths do you need?	2. You need to borrow to get 13 tenths. How many tens and ones do you need?	2. You need to borrow to get 10 tenths. How many ones and hundredths do you need?	2. You need to borrow to get 10 tenths. How many ones and hundredths do you need?	2. You need to borrow to get 19 tenths. How many tens, ones, and hundredths will you have?
%(Problem_intro3)%	3. What if the number of tenths is 18?	3. What if the number of hundredths is 22?	3. What if you only have 5 tens?	3. What if there are only 5 tenths?	3. What if the number of tenths is 93?	3. What if you had 9 tenths?	3. What if you needed to borrow from the tenths now and only had 9 tenths?	3. What if the number of tenths is 29?
								
%(link_r2_mostLeft)%	r2c1	r2c1	r2c2	r2c1	r2c1	r2c1	r2c1	r2c1
%(link_r2_Center)%	r2c2	r2c2	r2c3	r2c2	r2c2	r2c2	r2c2	r2c2
%(link_r2_mostRight)%	r2c4	r2c3	r2c4	r2c4	r2c4	r2c4	r2c4	r2c4
%(given_value_r2)%	r2c3	r2c4	r2c1	r2c3	r2c3	r2c3	r2c3	r2c3
%(value_r2)%	14	12	6	6	13	10	10	19
								
%(link_r3_mostLeft)%	r3c1	r3c1	r3c2	r3c1	r3c1	r3c1	r3c1	r3c1
%(link_r3_Center)%	r3c2	r3c2	r3c3	r3c2	r3c2	r3c2	r3c2	r3c2
%(link_r3_mostRight)%	r3c4	r3c3	r3c4	r3c4	r3c4	r3c4	r3c4	r3c4
%(given_value_r3)%	r3c3	r3c4	r3c1	r3c3	r3c3	r3c3	r3c3	r3c3
%(value_r3)%	18	22	5	5	93	9	9	29
								
