Problem Name	1-amy	2-molly	3-Sydney	4-allison	5-charlie	6-jordan	7-martin	8-paul	9-lauren
%(startStateNodeName)%		state54	state12	state2					
%(Problem_intro1)%	Amy wants $3.70.	Molly wants $6.05 but she wants a different number of dimes each time.	Sydney wants $82.37.	Allison wants $37.23.	Charlie wants $75.99.	Jordan wants $35.26.	Martin wants $4.42.	Paul wants $18.94.	Lauren wants $9.18.
%(Problem_intro2)%	1. Use the fewest number of bills and coins.	1. Molly wants the fewest number of bills and coins without any dimes.	1. Sydney asks for the fewest number of bills and coins.	1. Use the fewest number of bills and coins as possible.	1. Charlie wants the fewest number of bills and coins.	1. Use the fewest number of bills and coins.	1. Use the fewest number of bills and coins.	1. Use the fewest number of bills and coins.	1. Use the fewest number of bills and coins.
%(Problem_intro3)%	2. Amy needs extra dimes. How many bills and coins should you give her if she wants 17 dimes?	2. If Molly needs 10 dimes to pay for her parking meter, how many bills and coins should you give her?	2. You only have 1 one-dollar bill available to give to Sydney. How many bills and coins should you give him?	2. Allison needs some extra dimes. If you give her 10 dimes, how many other bills and coins should you give her?	2. You only have 6 tens available to give to Charlie. How many other bills and coin should you give him?	2. Jordan decides that he needs 15 ones. How many other bills and coins should you give him?	2. You only have 3 ones to give Martin. How many other bills and coins should Martin receive?	2. You only have 7 dimes to give Paul. How many other bills and coins should Paul receive?	2. Lauren does not want any dimes. How many other bills and coins should you give her?
%(Problem_intro4)%	3. If Amy wants 27 dimes, how many other bills and coins should you give her?	3. Molly decides she only needs 9 dimes. How many bills and coins should she get?	3. If you don't have any one-dollar bills, how many ten dollar bills and coins should you give to him instead?	3. Allison asks for 33 pennies. How many other bills and coins should you give her?	3. Charlie trades in another ten-dollar bill. How many other bills and coins should he receive?	3. He then realizes that instead of 15 ones, he needs 12 dimes. How many other bills and coins should Jordan receive?	3. Martin asks for 24 dimes. How many other bills and coins should you give him?	3. Paul decides he wants 5 ones. How many other bills and coins should you give him?	3. She then decides she wants 31 dimes. How many other bills and coins should you give her?
									
%(link_r2_mostLeft)%	r2c1	r2c1	r2c1	r2c1	r2c2	r2c1	r2c1	r2c1	r2c1
%(link_r2_Center)%	r2c2	r2c2	r2c3	r2c2	r2c3	r2c3	r2c3	r2c2	r2c2
%(link_r2_mostRight)%	r2c4	r2c4	r2c4	r2c4	r2c4	r2c4	r2c4	r2c4	r2c4
%(given_value_r2)%	r2c3	r2c3	r2c2	r2c3	r2c1	r2c2	r2c2	r2c3	r2c3
%(value_r2)%	17	10	1	10	6	15	3	7	0
									
%(link_r3_mostLeft)%	r3c1	r3c1	r3c1	r3c1	r3c2	r3c1	r3c1	r3c1	r3c1
%(link_r3_Center)%	r3c2	r3c2	r3c3	r3c2	r3c3	r3c2	r3c2	r3c3	r3c2
%(link_r3_mostRight)%	r3c4	r3c4	r3c4	r3c3	r3c4	r3c4	r3c4	r3c4	r3c4
%(given_value_r3)%	r3c3	r3c3	r3c2	r3c4	r3c1	r3c3	r3c3	r3c2	r3c3
%(value_r3)%	27	9	0	33	5	12	24	5	31
									
%(totalTableDecValue_r2_mostLeft)%	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	r2c1, input, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4
%(totalTableDecValue_r2_Center)%	r2c1, input, r2c3, r2c4	r2c1, input, r2c3, r2c4	r2c1, r2c2, input, r2c4	r2c1, input, r2c3, r2c4	r2c1, r2c2, input, r2c4	r2c1, r2c2, input, r2c4	r2c1, r2c2, input, r2c4	r2c1, input, r2c3, r2c4	r2c1, input, r2c3, r2c4
%(totalTableDecValue_r2_mostRight)%	r2c1, r2c2, r2c3, input	r2c1, r2c2, r2c3, input	r2c1, r2c2, r2c3, input	r2c1, r2c2, r2c3, input	r2c1, r2c2, r2c3, input	r2c1, r2c2, r2c3, input	r2c1, r2c2, r2c3, input	r2c1, r2c2, r2c3, input	r2c1, r2c2, r2c3, input
									
%(totalTableDecValue_r3_mostLeft)%	input, r3c2, r3c3, r3c4	input, r3c2, r3c3, r3c4	input, r3c2, r3c3, r3c4	input, r3c2, r3c3, r3c4	r3c1, input, r3c3, r3c4	input, r3c2, r3c3, r3c4	input, r3c2, r3c3, r3c4	input, r3c2, r3c3, r3c4	input, r3c2, r3c3, r3c4
%(totalTableDecValue_r3_Center)%	r3c1, input, r3c3, r3c4	r3c1, input, r3c3, r3c4	r3c1, r3c2, input, r3c4	r3c1, input, r3c3, r3c4	r3c1, r3c2, input, r3c4	r3c1, input, r3c3, r3c4	r3c1, input, r3c3, r3c4	r3c1, r3c2, input, r3c4	r3c1, input, r3c3, r3c4
